都道府県,Overture_コンビニ,OSM_コンビニ,センサス_コンビニ5891,Overture_スーパー,OSM_スーパー,センサス_スーパー561+581
東京都,6292,6915,3389,5016,2620,2179
北海道,3268,2427,1998,1812,840,1053
神奈川県,3443,3358,1705,2427,1325,1324
大阪府,3400,3657,1382,2270,1510,1248
千葉県,2753,2441,1269,1604,822,913
愛知県,3494,2647,1183,1828,767,971
埼玉県,2681,2672,1037,1781,1035,966
福岡県,2195,1649,876,1647,510,701
兵庫県,1798,1716,691,1546,978,987
茨城県,1456,1165,571,822,397,535
静岡県,1632,1501,571,1315,531,553
広島県,1174,813,512,818,348,626
福島県,951,657,440,535,269,396
長野県,933,773,416,719,276,406
宮城県,1164,1202,406,759,759,416
栃木県,928,823,392,592,368,375
京都府,968,1025,388,1017,499,486
新潟県,967,613,323,688,260,516
群馬県,1046,914,304,581,285,353
岐阜県,838,486,300,605,210,421
熊本県,725,454,293,577,190,423
岡山県,834,712,280,564,438,476
鹿児島県,647,652,254,553,333,455
滋賀県,538,458,240,381,216,222
山口県,586,391,233,382,221,323
長崎県,493,293,215,454,178,411
三重県,704,632,211,554,242,355
岩手県,558,441,208,430,210,347
愛媛県,585,451,194,412,217,370
大分県,507,305,188,432,148,291
宮崎県,445,380,187,399,167,325
山梨県,456,505,169,312,135,186
青森県,631,550,159,383,290,376
沖縄県,703,745,157,684,361,462
山形県,461,453,155,457,362,272
香川県,408,373,154,363,189,229
佐賀県,360,220,147,276,111,184
奈良県,435,381,136,396,237,225
徳島県,322,253,126,243,145,206
秋田県,461,461,124,337,258,264
石川県,506,374,123,379,162,230
富山県,456,302,117,309,114,210
福井県,341,280,109,260,159,199
島根県,308,207,106,286,110,275
高知県,304,226,100,255,104,241
鳥取県,292,235,94,171,123,162
和歌山県,346,414,82,400,290,257
